Id,User,Text,Date,Request,Polarity 
"1333100893227585543","neptwunes","super m  super market","Sun Nov 29 18:29:55 CET 2020","super",4 
"1333100861191581698","itsxlilith"," omg t’es super super jolie","Sun Nov 29 18:29:47 CET 2020","super",4 
"1333100856733028356","BloodyMariie"," Et la on ne se rend pas super compte mais le plat est assez profond On va en manger trois jours 😂","Sun Nov 29 18:29:46 CET 2020","super",4 
"1333100855390842889","DeepMin88285220"," Super idée 👍","Sun Nov 29 18:29:46 CET 2020","super",2 
"1333100854644252675","ysm_sdk","super gênant ","Sun Nov 29 18:29:46 CET 2020","super",2 
"1333100841469931526","Yoda552","  Et si  on peut remonter lhistoire sur 1000 ans tous les pays ont été colonisés et colonisateurs ou un exemple contraire  ","Sun Nov 29 18:29:43 CET 2020","super",4 
"1333100833626607622","Rainbow__Hana","Nous vous proposons aujourdhui un super concours en partenariat avec  et Le monde de Tyfenn Rendezvous sur   et  afin de remporter un abonnement de 3 mois à Volarela      ","Sun Nov 29 18:29:41 CET 2020","super",4 
"1333100830355021830","pimentd0ux"," en sah t’es plutôt super fraîche comme meuf","Sun Nov 29 18:29:40 CET 2020","super",2 
"1333100825321811972","Mushu801"," Chez moi cétait super flou je suis triste","Sun Nov 29 18:29:39 CET 2020","super",2 
"1333100825175072774","LuviringaM"," Super wao Ns smm ravis  pas seulement que la formule de rendre le béton en poussière est retrouvée mais aussi pcq lingénieur fabricateur des bétons est là  ns citons JKK","Sun Nov 29 18:29:39 CET 2020","super",4 
"1333100824944402433","Soulyy_Boy","Sortez vos popcorns prenez votre boisson et calez vous bien au fond de votre incroyable chaise gaming ou votre chaise de pêcheurs et venez faire ce marathon et voir le meilleur superhéros qui nest dautre que Suleyman ","Sun Nov 29 18:29:39 CET 2020","super",4 
"1333100796993556482","SAutodidacte"," il à de bon anticorp super rapide ","Sun Nov 29 18:29:32 CET 2020","super",2 
"1333100722896973828","minatocrack","       Super alors ","Sun Nov 29 18:29:14 CET 2020","super",4 
"1333100708422438914","NassTrunks","Trunks a été super saiyen à 14 ans Goku à 30 ans Fin de la vanne ","Sun Nov 29 18:29:11 CET 2020","super",4 
"1333100704714657796","orange","Fans de  vous  pourrez prendre la place de   dès 2021 au Super Nintendo World un parc d’attraction intégralement dédié au héros à la casquette rouge ⤵️ ","Sun Nov 29 18:29:10 CET 2020","super",4 
"1333101147540885504","_G4LAXIE"," MFKEKXBWK purée tes nul","Sun Nov 29 18:30:56 CET 2020","nul",2 
"1333101056482553857","Atlas18h","   Et nul","Sun Nov 29 18:30:34 CET 2020","nul",2 
"1333101030519803905","Yosooo78","Je suis nul en maths mais je sais combien tu compte pour moi","Sun Nov 29 18:30:28 CET 2020","nul",2 
"1333101018557636609","vinciiiz"," Je regarde tout les championnats 🤷🏽‍♂️ excuse moi mais faire un match nul ou perdre tout les 3 matchs c’est pas une grosse perf","Sun Nov 29 18:30:25 CET 2020","nul",4 
"1333100977055027202","MouniaSdk","Ma Tl elle est plus dutout en anglais là que des français c trop nul","Sun Nov 29 18:30:15 CET 2020","nul",0 
"1333100951155208193","Sharkkyyyyyy","  mais espèce d’handi je suce pas je suis juste bon et toi t’es nul à chier normal que personne t’aime","Sun Nov 29 18:30:09 CET 2020","nul",4 
"1333100944985387008","EstradaHsc","Vous pensez qu’on prend paris au bon moment ou au Mauvais  Ils vont vouloir rectifier le tir suite au match nul contre bordeaux non ","Sun Nov 29 18:30:07 CET 2020","nul",4 
"1333100934516367361","beinsports_FR","📺 RÉSUMÉ VIDÉO 🇪🇸   🤝 Getafe et lAthletic Bilbao se quittent sur un match nul 11  📈 Les deux équipes ont le même nombre de point au classement  Getafe est 11ème Bilbao 9ème  ","Sun Nov 29 18:30:05 CET 2020","nul",4 
"1333100923334307841","IrvingMagi","Ounas est nul Et le jeu ne passe nulle part ailleurs que par le côté droit depuis le début Autant dire que j’risque de perdre des cheveux J’espère qu’il me fera mentir hein cecidit ","Sun Nov 29 18:30:02 CET 2020","nul",4 
"1333100905160466433","Piarrr_"," mdrrrr cest fou comment tu peux autant sucer un joueur alors quil a pissé sur le club en arrivant en retard a toute les reprises dentrainement et qui a demandé un salaire de top player alors quil cest fait sauter par un gros lard nul","Sun Nov 29 18:29:58 CET 2020","nul",4 
"1333100895899430913","Rkerlo1","Vieira tes nul  Démissionnes fils de pute","Sun Nov 29 18:29:56 CET 2020","nul",0 
"1333100870846853122","leamartinux","je chiale sur mon groupe de td je partage de nouvelles pépites et un que j’ai recale commence à faire le mec c’est nul nanana ptdrrr j’affiche comme je t’ai recale ou pas ","Sun Nov 29 18:29:50 CET 2020","nul",4 
"1333100866056966146","AJyven","Vieira tes nul  Démissionnes fils de pute","Sun Nov 29 18:29:48 CET 2020","nul",0 
"1333100748612243460","lucas69600"," Bat les couilles il est nul sérieusement il réussit pas 1 dribble","Sun Nov 29 18:29:20 CET 2020","nul",2 
"1333100739699367939","lbonvieuxph"," Nan mgl wallah qu’il est pas nul par contre Marseille ttes l’équipes est éclater","Sun Nov 29 18:29:18 CET 2020","nul",4 
"1338258905479196672","BilalTcla"," sérieusement comment on fait pour rester autant fan d’Arsenal","Mon Dec 14 00:06:01 CET 2020","Arsenal",2 
"1338258898164342787","ygflackoo","Être fan d’Arsenal ou on vous tabasse à sang ","Mon Dec 14 00:05:59 CET 2020","Arsenal",0 
